醫事機構代碼,醫事機構名稱,醫事機構電話,醫事機構地址,經度,緯度
5903280763,全順藥局,(04)24730983,臺中市南屯區永春東路３３９號１樓,120.6477,24.13447
5903280781,美十樂藥局,(04)24710219,臺中市南屯區東興路二段２７９號１樓,120.6528,24.1437
5903280790,統一藥局,(04)24701996,臺中市南屯區黎明路一段１１９號１樓,120.6261,24.11478
5903280807,大樹南屯藥局,(04)24758887,臺中市南屯區向上路一段６４３號１樓,120.6486,24.14659
5903280816,大育藥局,(04)24755656,臺中市南屯區東興路二段７１號１樓,120.6528,24.13835
5903280889,精科藥局,(04)23806288,臺中市南屯區嶺東路３２１號１樓,120.6106,24.14513
5903280898,佑全台中忠勇藥局,(04)23803282,臺中市南屯區忠勇路５１－８號１樓,120.614,24.14376
5903280914,豐樹藥局,(04)24792098,臺中市南屯區黎明路一段６３號１樓,120.6258,24.11362
5903280923,南屯丁丁藥局,(04)36015077,臺中市南屯區五權西路二段２１８號１樓,120.6503,24.14035
5903290045,康美得藥局,(04)22467128,臺中市北屯區昌平路１段１０５－８號,120.6903,24.17373
5903290063,承恩藥局,(04)22467857,臺中市北屯區北屯路４４１－１號１樓,120.7008,24.17977
5903290232,弘映藥局,(04)22464485,臺中市北屯區崇德路２段４６７號,120.6859,24.18133
5903290312,大連大愛藥局,(04)22428899,臺中市北屯區大連路２段２２１號,120.6883,24.17579
5903290385,元復藥局,(04)24362075,臺中市北屯區東山路１段２２５－７號,120.7155,24.17475
5903290394,億銓藥局,(04)22313670,臺中市北屯區北屯路２１０－１號,120.6961,24.16756
5903290518,佳美藥局,(04)24363658,臺中市北屯區東山路１段２６５號１樓,120.7184,24.17583
5903290572,合健藥局,(04)22951833,臺中市北屯區大連路一段５４－１號,120.6726,24.17565
5903290607,敦化小林健保藥局,(04)24261881,臺中市北屯區敦化路１段６６８號,120.6643,24.18593
5903290625,又昌中西健保藥局,(04)24375716,臺中市北屯區東山路１段２２３號,120.7152,24.17452
5903290661,康博中西健保藥局,(04)24252468,臺中市北屯區后庄一街７號１樓,120.6644,24.1865
5903290689,大德安藥局,(04)24378351,臺中市北屯區景賢路２３６號,120.7241,24.16701
5903290750,長幼藥局,(04)22426767,臺中市北屯區崇德路二路二段１５７號１樓,120.6853,24.17329
5903290778,博宇藥局,(04)22341479,臺中市北屯區北屯路３８５之１號,120.6979,24.17193
5903290803,英全藥局,(04)22345179,臺中市北屯區北平路三段３４號,120.6803,24.17105
5903290821,昌平炘星藥局,(04)22417616,臺中市北屯區昌平路二段１１－３６號,120.6886,24.18159
5903290830,齊方藥局,(04)22912192,臺中市北屯區四平路３９號,120.6708,24.17885
5903290849,新盛藥局,(04)22467779,臺中市北屯區松竹路二段１５７號１樓,120.6959,24.18312
5903290867,軍功啄木鳥藥局,(04)22390160,臺中市北屯區軍功路二段１７５號,120.7195,24.17982
5903290876,北屯軍功藥局,(04)24375111,臺中市北屯區軍功路一段７５２號,120.7193,24.17513
5903290894,豐禾藥局,(04)24260588,臺中市北屯區同榮路１６３號,120.6618,24.19589
5903290901,帥帥藥局,(04)24378188,臺中市北屯區東山路一段３００－２號,120.7204,24.1759
5903290929,微笑藥局,(04)22432699,臺中市北屯區昌平路一段３１８號１樓,120.6907,24.17344
5903290947,德寶健保藥局,(04)22325511,臺中市北屯區熱河路一段７０號１樓,120.687,24.1674
5903290965,崇德藥局,(04)22361331,臺中市北屯區崇德路二段３１號,120.685,24.16962
5903290974,興安永佳藥局,(04)22437876,臺中市北屯區興安路一段３３３號１樓,120.6944,24.17431
5903290983,祥和藥局,(04)22369603,臺中市北屯區太原路三段１４７號１樓,120.6901,24.16507
5903290992,益川健保藥局,(04)24213696,臺中市北屯區昌平路二段４７－１號１樓,120.6829,24.1917
5903291006,五和健保藥局,(04)22415533,臺中市北屯區崇德路二段４６０號１樓,120.6863,24.18001
5903291042,全成北屯藥局,(04)22463518,臺中市北屯區北屯路４３９－１１號１樓,120.7004,24.17913
5903291060,大樹北屯藥局,(04)22422262,臺中市北屯區松竹路二段４１１號１樓,120.6895,24.18192
5903291079,富丘藥局,(04)22477301,臺中市北屯區興安路二段７７號１樓,120.6947,24.17686
5903291104,惠登藥局,(04)24225682,臺中市北屯區豐樂路３２之９號１樓,120.6897,24.19282
5903291131,兩隻老虎藥局,(04)22364635,臺中市北屯區崇德路２段１２號１樓,120.6855,24.16869
5903291140,興安藥局,(04)22460369,臺中市北屯區興安路二段５２號１、２樓,120.6949,24.1762
5903291159,均福藥局,(04)24391169,臺中市北屯區軍福十三路１００號１樓,120.7308,24.17096
5903291168,日初藥局,(04)24363150,臺中市北屯區軍功路一段４８２－３號１樓,120.7188,24.17102
5903291177,大連何藥局,(04)22930895,臺中市北屯區山西路二段２７４號１樓,120.677,24.177
5903291195,匯百鴻藥局,(04)24222288,臺中市北屯區昌平東二路１５６號１樓,120.6877,24.18922
5903291202,好心情藥局,(04)22335663,臺中市北屯區昌平路一段１７之３號,120.6941,24.16607
5903291211,愛樂芬兒童藥局,(04)24363660,臺中市北屯區松竹路一段９２９號１樓,120.7131,24.18216
5903291220,佑全台中四平藥局,(04)24212792,臺中市北屯區四平路３６０號１樓,120.682,24.19324
5903291248,潔西卡大藥局,(04)22416879,臺中市北屯區崇德路二段３１４號１樓,120.686,24.1765
5903291257,新一代何藥局,(04)24364366,臺中市北屯區環中東路二段２６６、２６８號１樓,120.7207,24.17576
5903291266,佑全台中興安藥局,(04)22490355,臺中市北屯區興安路一段２５３號,120.6941,24.17221
5903291275,康是美藥局東山店,(04)24634571,臺中市北屯區東山路一段３２０號１樓、和福路２５８號１樓,120.7229,24.17591
5905010036,橘子藥局,(06)6351881,臺南市新營區民權路１１８之２號,120.312,23.30989
5905010063,松柏藥局,(06)6590063,臺南市新營區新南里新北街１號,120.3048,23.30861
5905010072,長壽藥局,(06)6324001,臺南市新營區中山路２１９號,120.3146,23.30286
5905010125,宏泰大藥局,(06)6327801,臺南市新營區新東里東興８街２７號,120.3273,23.3189
5905010143,啄木鳥藥師藥局,(06)6590248,臺南市新營區新南里民治路２４２號,120.3041,23.30767
5905010152,謙和藥師藥局,(06)6322957,臺南市新營區延平路１０１之２號,120.3135,23.29982
5905010250,大樹新營藥局,(06)6328300,臺南市新營區民權路７４、７６、７８號１樓,120.3127,23.30615
5905010296,躍獅新營藥局,(06)6564325,臺南市新營區民生路１６８號１樓,120.3073,23.31112
5905010330,新進啄木鳥藥局,(06)6565303,臺南市新營區新進路２段２５４號１樓,120.3056,23.30074
5905020023,大樹鹽水藥局,(06)6520432,臺南市鹽水區朝琴路１２６－３號１樓,120.271,23.32228
5905030010,美恩健保藥局,(06)6858865,臺南市白河區永安里中山路８１號１樓,120.4153,23.35018
5905030038,美尚藥局,(06)6853538,臺南市白河區白河里康樂路４３號,120.4148,23.34833
5905030047,大源醫藥局,(06)6852306,臺南市白河區中山路１７２之２號,120.4177,23.35257
5905030092,大樹白河藥局,(06)6830006,臺南市白河區中山路１５３號１樓,120.417,23.35255
5905040105,幸福藥局,(06)5720977,臺南市麻豆區光復路１２７號１樓,120.245,23.18435
5905040123,麻豆啄木鳥藥局,(06)5714786,臺南市麻豆區興國路５６－２２號１樓,120.2471,23.17712
5905040141,大樹麻豆藥局,(06)5716556,臺南市麻豆區中山路４８、５０號１樓,120.2469,23.18382
5905050058,佳里啄木鳥藥局,(06)7236396,臺南市佳里區延平路７６號１樓,120.1795,23.15507
5905050094,建昌藥局佳里店,(06)7221369,臺南市佳里區光復路３７１號,120.1747,23.16452
5905050165,德昌藥局佳里店,(06)7232388,臺南市佳里區光復路２３３號,120.1746,23.16095
5905050192,復佑藥局,(06)7222771,臺南市佳里區光復路３１５號１樓,120.1746,23.16289
5905050209,大樹佳里藥局,(06)7231323,臺南市佳里區延平路２３７號１樓,120.1783,23.1599
5905060054,全家康藥師藥局,(06)5980866,臺南市新化區北勢里中正路１２０７號,120.2968,23.05935
5905060081,新化景惠藥局,(06)5909659,臺南市新化區護國里中山路１８５號,120.3103,23.03705
5905060125,美麗安藥局,(06)5909509,臺南市新化區護國里中山路１５０－１號１樓,120.3102,23.03714
5905060161,和德藥局新化店,(06)5802518,臺南市新化區清水里中山路４２０號１樓,120.3047,23.0359
5905060198,大樹新化藥局,(06)5901331,臺南市新化區中正路５３１號１樓,120.3072,23.03764
5905070050,晶德昌藥局,(06)5856141,臺南市善化區文光里中山路８５號,120.3034,23.13298
5905070112,健登藥局,(06)5831133,臺南市善化區大成路２１２號１樓,120.3004,23.13021
5905070121,大樹善化藥局,(06)5830550,臺南市善化區民權路５４、５６、５８號１樓,120.3034,23.1322
5905070158,南科健登藥局,(06)5836266,臺南市善化區龍目井路４１３號１樓,120.3058,23.10922
5905070185,宇康藥局,(06)5830963,臺南市善化區蓮潭里蓮潭南街１５０號１樓,120.3077,23.11199
5905070201,善化啄木鳥藥局,(06)5853585,臺南市善化區中山路１８１號１、２樓,120.3006,23.13256
5905080056,大樹學甲藥局,(06)7820001,臺南市學甲區中正路１３５號１樓,120.1793,23.23029
5905080065,生祥大藥局學甲店,(06)7838462,臺南市學甲區仁得里華宗路３６９號１樓,120.1821,23.23223
5905090025,中山藥局,(06)6221696,臺南市柳營區中山西路二段１４５號１樓,120.3137,23.27664
5905090061,安安藥局柳營店,(06)6220585,臺南市柳營區福安一街５０號１樓,120.3126,23.27711
5905090070,維康藥局柳營店,(06)6226228,臺南市柳營區太康里２０１－１０號１樓,120.3253,23.28793
5905100035,華恩藥局,(06)6623491,臺南市後壁區菁寮里５１號１樓,120.3356,23.37883
5905100062,美尚藥局後壁店,(06)6871138,臺南市後壁區後壁里１６８－８號,120.364,23.36509
5905130024,人大藥局,(06)6988802,臺南市六甲區中山路７號,120.3513,23.23059
5905130042,人大聯合藥局,(06)6987822,臺南市六甲區中山路８號１樓,120.3513,23.23087
5905130051,唯安健保藥局,(06)6980550,臺南市六甲區中正路４７７號１樓,120.3511,23.22957
5905140011,振安藥局,(06)5791810,臺南市官田區隆田里中山路一段６０號,120.3178,23.1929
5905140039,安安藥局隆田店,(06)5795705,臺南市官田區中山路一段１５號１樓,120.3186,23.1927
5905160013,長榮藥局,(06)7952617,臺南市西港區新興街１２巷１４號１樓,120.2019,23.12005
5905170019,博士藥師專業藥局,(06)7874226,臺南市七股區大埕里３５７號１樓,120.1416,23.14288
5905170037,建昌藥局,(06)7873777,臺南市七股區大寮里１之１１號,120.1493,23.1482
5905180042,建昌藥局漚汪店,(06)7941889,臺南市將軍區忠興里１－６號１樓,120.1605,23.2013
5905180051,晉昇藥師藥局,(06)7943667,臺南市將軍區西甲里４鄰西華６７之２１號１樓,120.1563,23.19908
5905200030,新和德健保藥局,(06)5997603,臺南市新市區中正路３１９－１號,120.2939,23.07958
5905200058,欣和德藥局,(06)5895658,臺南市新市區中正路２００號,120.2916,23.07516
5905200085,大樹新市藥局,(06)5892552,臺南市新市區中正路４９、５１號１樓,120.2916,23.07223
5905200094,大華藥局,(06)5997119,臺南市新市區大社里大社７０８號１樓,120.3176,23.08945
5905210027,愛心藥師藥局,(06)5935104,臺南市安定區港南里港口１４７號,120.233,23.09041
5905210036,一翔藥局,(06)5935208,臺南市安定區港南里港口１９６號１樓,120.2323,23.09044
5905270041,仁德市安藥師藥局,(06)2661933,臺南市仁德區中正西路２５號,120.2244,22.91814
5905270112,昱欣藥局,(06)2798970,臺南市仁德區中正路２段１１８１號１樓,120.252,22.96969
5905270121,安麗兒藥局仁德店,(06)2498619,臺南市仁德區新田里中正路二段４４５號,120.2523,22.95461
5905270158,佳德藥局,(06)2796767,臺南市仁德區德糖路４７０號１樓,120.2522,22.95128
5905270176,大樹仁德藥局,(06)2797466,臺南市仁德區中正路二段１１５２號１樓,120.2519,22.97062
5905270194,成吉藥局仁義店,(06)2497307,臺南市仁德區仁義路４２－１號１樓,120.2539,22.96808
5905280047,獅甲藥局,(06)3388387,臺南市歸仁區六甲里六甲路２０３號,120.2788,22.95239
5905280092,元康保健藥局,(06)2309055,臺南市歸仁區中山路二段２２９號,120.2888,22.96721
5905280109,大樹青青藥局,(06)2300301,臺南市歸仁區中山路三段１２號,120.2875,22.96765
5905280118,和雅藥局,(06)2307757,臺南市歸仁區民權三街９６號１樓,120.2902,22.96936
5905280136,悅橙歸仁藥局,(06)2396660,臺南市歸仁區大通路４３號１樓,120.296,22.9676
5905280154,喜樂藥局,(06)2305101,臺南市歸仁區辜厝里中正南路一段１１４號１樓,120.293,22.96419
5905280163,歸仁丁丁藥局,(06)2300767,臺南市歸仁區中山路三段７３號１樓,120.2861,22.96753
5905290034,大樹關廟藥局,(06)5965889,臺南市關廟區中央路２６３號１樓,120.3272,22.96109
5905310157,信仁藥局,(06)2337755,臺南市永康區中華西街１４９號,120.2257,23.01581
5905310184,鹽行健保藥局,(06)2435112,臺南市永康區中正南路８６１號,120.2369,23.04132
5905310237,睿禾藥局,(06)3023868,臺南市永康區東橋一路１３號,120.2356,23.01609
5905310264,仁安藥師藥局,(06)2056055,臺南市永康區崑山里大仁街６１號,120.2566,23.00183
5905310273,誠康藥局,(06)3022005,臺南市永康區中山東路１１３號１樓,120.2367,23.01266
5905310291,俐欣藥局,(06)2050777,臺南市永康區大仁街２０６號１樓,120.2582,23.00553
5905310326,美德生醫藥局,(06)2030463,臺南市永康區復國一路４９６號１樓,120.245,23.01514
5905310344,昱賢藥師藥局中正店,(06)2021535,臺南市永康區中正路１４１、１４３號１樓,120.2375,23.04097
5905310353,家嘉藥局,(06)3121328,臺南市永康區復國一路２０６號,120.2462,23.00644
5905310531,晉大藥局復國店,(06)2025309,臺南市永康區復國一路５８２－１號,120.2438,23.01671
5905310540,裕安藥局,(06)3133251,臺南市永康區中華二路３８５號,120.2315,23.0083
5905310568,宜芯健康藥局,(06)2722622,臺南市永康區大灣路７３６號１樓,120.2611,23.00076
5905310657,昂德藥局,(06)3121220,臺南市永康區復華里復國一路１５２號１樓,120.2467,23.01241
5905310755,德昌藥局永康店,(06)3020628,臺南市永康區中華路４６２號,120.2327,23.01082
5905310817,永大啄木鳥藥局,(06)2071575,臺南市永康區永大路二段３９７號１樓,120.2632,23.01227
5905310871,晶辰藥局,(06)2733368,臺南市永康區大灣里民族路３９６巷１號、３號１樓、３９８號１樓,120.2661,23.00825
5905310880,永東藥局,(06)2318700,臺南市永康區中山路５５號１樓,120.2562,23.02921
5905310933,樂馨藥局,(06)2038100,臺南市永康區中山路８５號１樓,120.2561,23.02984
5905310979,復華藥師藥局,(06)3123597,臺南市永康區復興里復華一街１３１號１樓,120.2422,23.00531
5905310988,小東藥局,(06)3127169,臺南市永康區小東路５７３號１樓,120.2369,22.99867
5905311001,和德藥局復國店,(06)2038728,臺南市永康區復國里復國一路３３９之７號１樓,120.2464,23.01155
5905311010,樂丞藥局,(06)2433319,臺南市永康區中正北路６０號１樓,120.2406,23.04138
5905311038,莉志藥局,(06)3123090,臺南市永康區建國里復國路８７巷３號１樓,120.2459,23.00103
5905311074,中華長億藥局,(06)3022322,臺南市永康區中華路７３４、７３６號１樓,120.2288,23.0167
5905311083,心康藥局,(06)2055075,臺南市永康區永大路二段１７９號１樓,120.2616,23.00665
5905311092,永大丁丁藥局,(06)2013690,臺南市永康區永大路二段１５１６號１樓,120.2611,23.02493
5905311127,台南永康藥局,(06)2020201,臺南市永康區中山南路８１６、８１６─１、２、３號１樓,120.2471,23.02099
5905311145,慈惠中西藥局,(06)2050956,臺南市永康區北興里北興路３５８號１樓,120.2709,23.01289
5905311154,佑心藥局,(06)3022516,臺南市永康區振興路４６號１樓,120.2338,23.01167
5905311172,美日新藥局,(06)2420980,臺南市永康區塩行里中正北路６２號１樓,120.2406,23.04138
5905311190,和德藥局大灣店,(06)2735049,臺南市永康區崑山里永大路二段９號１樓,120.2595,23.00127
5905311216,新安生堂藥局,(06)2717068,臺南市永康區西勢里富強路一段５０號１樓,120.2726,23.01454
5905311225,安生堂藥局,(06)2725265,臺南市永康區南灣里大灣路４２９號１樓,120.2655,23.00294
5905320091,台和群康藥局,(06)2891360,臺南市東區崇善路４７０號１樓,120.2295,22.97292
5905320135,安麗兒藥局裕農店,(06)2377378,臺南市東區裕農路１００號１樓,120.2268,22.9857
5905320180,恩泉藥局,(06)3352078,臺南市東區崇明路２０７號１樓,120.22,22.97794
5905320260,群安健保藥局,(06)2690652,臺南市東區復興里自由路三段１５１、１５３號１樓,120.2369,22.98302
5905320331,高福藥局,(06)2904668,臺南市東區大智里德東街１６８號,120.2322,22.96171
5905320368,巴克禮中西藥局,(06-)3361100,臺南市東區中華東路三段３７７巷８號１樓,120.2215,22.97337
5905320466,佑全中華藥局,(06)2906386,臺南市東區中華東路三段２１５號,120.2253,22.97603
5905320475,美生藥局,(06)2670035,臺南市東區德高里自由路一段１６１號１樓,120.2367,22.96862
5905320537,舒惠藥局,(06)2087052,臺南市東區青年路４３２－６號１樓,120.2168,22.99104
5905320546,佑丞藥局,(06)2902709,臺南市東區中華東路二段１２９號,120.2335,22.98546
5905320564,杏一台南崇德藥局,(06)2671939,臺南市東區崇德路６７４號,120.2274,22.96762
5905320608,中華台安藥局,(06)2092622,臺南市東區中華東路一段４號１樓,120.2344,22.99818
5905320635,晉大藥局,(06)2092580,臺南市東區東光里東興路２６４號１樓,120.2298,22.99522
5905320644,崇善藥局,(06)2896619,臺南市東區崇善路３９２號１樓,120.2288,22.97485
5905320653,東門台安藥局,(06)2904377,臺南市東區中華東路三段２號１樓,120.2291,22.98105
5905320662,台南鼎澄藥局,(06)2908855,臺南市東區崇明路二十街１３號１樓,120.2261,22.96735
5905320699,恆大藥局,(06)2905586,臺南市東區崇明路５９０號１樓,120.2247,22.97262
5905320706,悅橙藥局,(06)2605168,臺南市東區崇明路４５９號１樓,120.2247,22.97311
5905320715,令和藥局,(06)2673578,臺南市東區崇善路２６９號１樓,120.2264,22.97833
5905320742,榮記藥健康藥局,(06)2760588,臺南市東區成大里育樂街１５６－４號底層,120.2147,22.99538
5905320751,倍加藥局,(06)2364173,臺南市東區東門路一段２５５號１樓,120.2179,22.9872
5905320779,安麗兒藥局仁和店,(06)2908000,臺南市東區仁和路１０５－１號１樓,120.2329,22.97181
5905320797,大樹自由藥局,(06)2890800,臺南市東區自由路三段３８２號１樓,120.2373,22.98241
5905320804,大樹大同藥局,(06)2158700,臺南市東區大同路二段２２７、２２９號１樓,120.2143,22.97567
5905320840,信霖藥局,(06)3364699,臺南市東區崇明路１２３號１樓,120.2179,22.97946
5905320859,裕農藥局,(06)2092286,臺南市東區裕農路３０２號１樓,120.2287,22.98652
5905320868,大樹東寧藥局,(06)2360006,臺南市東區東寧路４３６號１樓,120.2291,22.9895
5905320877,靈安藥局,(06)2143727,臺南市東區大福里榮譽街３２－２號１樓,120.2163,22.97419
5905320886,中華崇德藥局,(06)2880800,臺南市東區中華東路三段１８１、１８３號１樓,120.2259,22.97667
5905320911,大樹崇道藥局,(06)2680456,臺南市東區崇道路６３號１樓,120.2272,22.97227
5905320939,東門啄木鳥藥局,(06)2884569,臺南市東區東門路三段２４１號１樓,120.2358,22.97662
5905320948,崇明台安藥局,(06)2900350,臺南市東區崇明路３０４號１樓,120.2198,22.97762
5905320966,安納藥局,(06)3313316,臺南市東區裕文路２３５號１樓,120.2438,22.98249
5905320975,萬錠藥局,(06)2679299,臺南市東區崇成里崇德路６１９號１樓,120.2277,22.97181
5905330024,聖安健保藥局,(06)2916898,臺南市南區健康路二段１７３號１樓,120.193,22.98142
5905330113,進祥藥局,(06)2630571,臺南市南區文南里健康路２段３４２－１號１樓,120.1879,22.98205
5905330159,勝一藥局,(06)2626168,臺南市南區省躬里灣裡路９０號１樓,120.1807,22.93114
5905330220,合樂藥局,(06)2625016,臺南市南區灣裡路３０９號,120.1824,22.92566
5905330239,宏祐健保藥局,(06)2632580,臺南市南區新孝路５９號,120.1893,22.97767
5905330275,太子藥局大同店,(06)2158339,臺南市南區大同路二段３４８號１樓,120.2138,22.97574
5905330284,大樹佳華藥局,(06)2641238,臺南市南區金華路二段１２９號１樓,120.1911,22.98035
5905330337,千薏台安藥局,(06)2638265,臺南市南區金華路二段２號１樓,120.1912,22.97556
5905330408,康而富藥局,(06)2639373,臺南市南區鹽埕里金華路一段３７５號１樓,120.1903,22.96965
5905330417,明興啄木鳥藥局,(06)2620793,臺南市南區明興路５１號１樓,120.1883,22.95974
5905330426,繁華藥局,(06)2656368,臺南市南區再興里金華路二段９６號１樓,120.1913,22.97807
5905340075,麗欣健保藥局,(06)2209393,臺南市中西區永華路一段１９４號１樓,120.1917,22.98835
5905340155,東北藥局,(06)2226753,臺南市中西區福安里西門路二段１４號１樓,120.1981,22.99075
5905340164,田邊藥局,(06)2200106,臺南市中西區中正路２３６號,120.1969,22.99326
5905340173,賜安大藥局,(06)3589600,臺南市中西區光賢里武聖路９號,120.1932,23.00517
5905340226,楊藥局,(06)2806353,臺南市中西區西和路３３號１樓,120.1926,23.00336
5905340235,人人藥局,(06)3583668,臺南市中西區和緯路５段１９７號１樓,120.1845,23.00393
5905340253,永華台安藥局,(06)2225531,臺南市中西區永華路一段１８４、１８４－１號１、２、３樓,120.1919,22.98831
5905340262,瑞城藥局,(06)2215810,臺南市中西區赤嵌里忠義路二段１７６號１樓,120.2043,22.99649
5905340271,南光藥局,(06)2226539,臺南市中西區永福路２段７３號１、２樓,120.2007,22.99207
5905350026,良佑堂藥局,(06)2586223,臺南市北區文賢路２９９號,120.1935,23.00631
5905350035,海安藥師藥局,(06)2814600,臺南市北區北成路４１８號１樓,120.202,23.01928
5905350062,嘉星藥師大藥局,(06)2093737,臺南市北區開元路３３９號１樓,120.222,23.00854
5905350133,大昌藥局,(06)2519121,臺南市北區北安路１段１３２號１樓,120.2127,23.01481
5905350151,公園台安藥局,(06)2518402,臺南市北區公園路８４０號,120.2121,23.01331
5905350231,祥好藥局,(06)2510366,臺南市北區正風里公園路８７６號１樓,120.2128,23.01412
5905350240,健康藥局,(06)2003078,臺南市北區長榮路５段２１號,120.2206,23.00827
5905350259,樂森藥局,(06)2511338,臺南市北區和緯路二段３３６號１樓,120.2048,23.01259
5905350268,宸安藥局,(06)2238679,臺南市北區光民里成功路４３６號１樓,120.1981,23.00093
5905350302,旻恩藥局,(06)2260590,臺南市北區公園里北門路二段３７－１號,120.2123,22.99817
5905350311,美康藥局,(06)2810311,臺南市北區公園路３７５－５號,120.2102,23.00597
5905350366,千多藥局,(06)2228641,臺南市北區金華路五段１號,120.1962,23.0016
5905350384,北安台安藥局,(06)2518166,臺南市北區北安路一段１６３號,120.2087,23.01755
5905350393,和緯啄木鳥藥局,(06)2519805,臺南市北區和緯路２段１７６號,120.2074,23.01231
5905350428,大正藥局,(06)2226899,臺南市北區公園南路３２４號１樓,120.2033,23.00268
5905350482,大欣藥局,(06)2236828,臺南市北區公園路２０３號１樓,120.2077,22.99941
5905350508,育德保健藥局,(06)2525360,臺南市北區富德里育德路５３０號１樓,120.2069,23.01527
5905350535,開元台安藥局,(06)2818061,臺南市北區開元路２８８號１樓,120.2226,23.00852
5905350544,康是美藥局和緯店,(06)2519076,臺南市北區福德里和緯路二段２３８號１樓,120.2067,23.01231
5905370073,宜康藥局同安店,(06)2470720,臺南市安南區同安路２３５號１樓,120.1921,23.0425
5905370135,安南日日康藥局,(06)3550995,臺南市安南區安和路五段３３號,120.2185,23.06398
5905370144,仁大藥局,(06)2561777,臺南市安南區海佃路三段３４６號１樓,120.1788,23.05322
5905370180,安南啄木鳥藥局,(06)2821265,臺南市安南區安和路一段１０７號,120.2143,23.02826
5905370206,美家藥局,(06)2566006,臺南市安南區安和路一段３５２號１樓,120.2125,23.03322
5905370224,上振藥局,(06)2551061,臺南市安南區安中路三段４３號１樓,120.1828,23.04721
5905370233,弘昇藥局,(06)2567605,臺南市安南區鳳凰里安中路一段７００巷３２號１樓,120.1974,23.04387
5905370260,廣道藥局,(06)2568383,臺南市安南區溪心里海佃路三段２１８號１樓,120.1806,23.05119
5905370304,大樹安南藥局,(06)3563370,臺南市安南區安和路四段５５７號１樓,120.2185,23.06181
5905370322,鳳凰平光中西藥局,(06)2565635,臺南市安南區鳳凰里安中路一段７００巷２７號１樓,120.1967,23.04319
5905370331,草湖寮王藥局,(06)2465859,臺南市安南區梅花里安中路一段６３３號１樓,120.1977,23.04163
5905370402,普得中西藥局,(06)2450082,臺南市安南區淵東里本原街三段２５５號１樓,120.1741,23.05183
5905370448,宜康安和藥局,(06)2521250,臺南市安南區安和路一段６８號１樓,120.2151,23.0273
5905370466,大樹北安藥局,(06)2553633,臺南市安南區北安路三段１５８號１樓,120.2036,23.04256
5905370484,安中台安藥局,(06)2470015,臺南市安南區北安路２段３６３之２４號１樓,120.2022,23.039
5905380051,安平藥局,(06)2970551,臺南市安平區國平路５６６號１樓,120.1719,22.99676
5905380097,宜康永華藥局,(06)2930119,臺南市安平區國平里永華路二段７８５號１樓,120.1701,22.99098
5905380140,信美藥局,(06)2980142,臺南市安平區建平里平通路１４２號１樓,120.1793,22.99272
5905380177,凱順藥局,(06)2999752,臺南市安平區育平里健康三街３９號１樓,120.168,22.98595
5905380239,怡家藥局,(06)2970519,臺南市安平區國平里華平路１４６─５號１樓,120.174,22.98438
5905380275,心悅藥局,(06)2973727,臺南市安平區華平里華平路５３７號１樓,120.1754,22.99425
5905380293,人仁藥局,(06)2998667,臺南市安平區怡平里慶平路２８１號１樓,120.1763,22.99668
5905380300,新高橋藥局台南永華店,(06)2992362,臺南市安平區華平路２７９號１樓,120.1748,22.99031
5905380408,永華啄木鳥藥局,(06)2985173,臺南市安平區永華路二段３６９號１樓,120.1806,22.98956
5905380417,好心情藥局,(06)2995885,臺南市安平區平通路５８６號１樓,120.1701,22.99393
5905380426,好朋友藥師藥局,(06)2997907,臺南市安平區建平七街６８３號１樓,120.1692,22.98999
5907010043,北京藥局文山店,(07)7676766,高雄市鳳山區青年路二段３６７號１．２樓,120.3511,22.64152
5907010098,建明藥局,(07)7668550,高雄市鳳山區海洋一路１２２號,120.3449,22.60985
5907010141,維安社區藥局,(07)7630980,高雄市鳳山區國富路２５-１號,120.3497,22.61517
5907010150,育英藥局文德店,(07)7777059,高雄市鳳山區文德路２９號,120.3527,22.63836
5907010178,華美藥局,(07)7452732,高雄市鳳山區建國路三段１６１號,120.3535,22.6367
5907010187,人人好藥局,(07)8151566,高雄市鳳山區五甲三路１０巷７號１樓,120.3278,22.59336
5907010203,新富丁丁藥局,(07)7156198,高雄市鳳山區新富路９５號,120.3361,22.6127
5907010212,北京藥局中崙店,(07)7550655,高雄市鳳山區中崙四路１６號１樓,120.3519,22.59971
5907010267,禾康藥局,(07)7997139,高雄市鳳山區瑞竹路１６號１樓,120.3662,22.62462
5907010276,愛家社區藥局,(07)8123698,高雄市鳳山區福德街１４１號,120.3267,22.59042
5907010301,高大藥局,(07)7718671,高雄市鳳山區南華路１８２號,120.3381,22.60295
5907010365,科健藥局,(07)7777868,高雄市鳳山區八德路２４６－５號１樓,120.3568,22.63853
5907010409,好郝藥局,(07)7468840,高雄市鳳山區武松里經武路１７８號１樓,120.3642,22.63619
5907010427,好郝藥局鳳林店,(07)7869188,高雄市鳳山區誠智里鳳林路２９０號,120.3779,22.62216
5907010454,上泰健保藥局,(07)7455127,高雄市鳳山區鎮西里中華街２７號１樓,120.3559,22.62698
5907010525,長青連鎖藥局光遠店,(07)7103487,高雄市鳳山區光遠路２７１號１樓,120.3588,22.62596
5907010730,鳳山啄木鳥藥局,(07)7162314,高雄市鳳山區善美里保泰路３３６號１樓,120.3348,22.60287
5907010927,元元鳳山藥局,(07)7529595,高雄市鳳山區一甲里五甲二路３４８之１號１樓,120.3377,22.59955
5907010945,光田藥局,(07)7460773,高雄市鳳山區鎮東里光遠路９５號１樓,120.3656,22.62412
